date,anomalies
2024-05-02,N_0
2024-04-30,N_0
2024-04-29,N_0
2024-04-28,N_0
2024-04-27,N_0
2024-04-11,N_0
2024-04-10,N_0
2024-04-09,N_0
2024-04-08,N_0
2024-04-07,N_0
2024-04-06,N_0
2024-04-05,N_0
2024-03-12,AN_0
2024-03-11,N_0
2024-03-10,AN_0
2024-03-09,AN_0
2024-03-08,AN_0
2024-03-05,AN_0
2024-03-04,AN_0
2024-03-03,AN_0
2024-03-02,AN_0
2024-02-26,AN_0
2024-02-24,AN_0
2024-02-23,AN_0
2024-02-22,AN_0
2024-02-21,N_0
2024-02-20,N_0
2024-02-19,N_0
2024-02-17,N_0
2024-02-16,N_0
2024-02-15,N_0
2024-02-14,N_0
2024-02-13,N_0
2024-02-12,N_0
2024-02-11,N_0
2023-12-31,N_0
2023-12-30,N_0
2023-12-29,N_0
2023-12-28,N_0
2023-12-27,N_0
2023-12-26,N_0
2023-12-26,N_0
2023-12-25,N_0
2023-12-23,N_0
2023-12-19,N_0
2023-12-18,N_0
2023-12-17,N_0
2023-12-16,N_0
2023-12-15,N_0
2023-12-14,N_0
2023-12-13,N_0
2023-12-12,N_0
2023-12-11,AN_0
2023-12-10,N_0
2023-12-09,N_0
2023-12-07,N_0
2023-12-06,N_0
2023-12-05,AN_0
2023-12-04,AN_0
2023-12-02,AN_0
2023-11-30,AN_0
2023-11-22,N_0
2023-11-21,AN_0
2023-11-20,N_0
2023-11-19,N_0
2023-11-18,N_0
2023-11-17,N_0
2023-11-16,N_0
2023-11-15,N_0
2023-11-14,N_0
2023-11-12,N_0
2023-11-11,N_0
2023-11-10,N_0
2023-11-09,N_0
2023-11-08,N_0
2023-11-07,N_0
2023-11-06,N_0
2023-11-05,N_0
2023-11-04,N_0
2023-11-02,N_0
2023-10-31,N_0
2023-10-30,N_0
2023-10-29,N_0
2023-10-28,N_0
2023-10-27,N_0
2023-10-26,N_0
2023-10-25,N_0
2023-10-24,N_0
2023-10-23,N_0
2023-10-22,N_0
2023-10-20,N_0
2023-10-19,N_0
2023-10-18,N_0
2023-10-17,N_0
2023-10-16,N_0
2023-10-15,N_0
2023-10-14,N_0
2023-10-13,N_0
2023-10-12,N_0
2023-10-11,N_0
2023-10-10,N_0
2023-10-09,N_0
2023-10-08,AN_0
2023-10-07,AN_0
2023-10-06,AN_0
2023-10-05,AN_0
2023-10-04,AN_0
2023-10-03,AN_0
2023-10-02,N_0
2023-10-01,N_0
2023-08-17,N_0
2023-06-26,N_0
2023-06-13,N_0
2023-06-12,N_0
2023-06-10,N_0
2023-06-08,N_0
2023-06-07,N_0
2023-06-04,N_0
2023-06-02,N_0
2023-06-01,N_0
2023-05-31,AN_0
2023-05-30,AN_0
2023-05-29,AN_0
2023-05-28,AN_0
2023-05-27,N_0
2023-05-26,AN_0
2023-05-25,AN_0
2023-05-24,AN_0
2023-05-23,AN_0
2023-05-22,N_0
2023-05-20,N_0
