date,anomalies
2023-01-18,N_0
2023-01-17,N_0
2023-01-16,N_0
2023-01-15,N_0
2023-01-14,N_0
2023-01-13,N_0
2023-01-12,N_0
2023-01-11,N_0
2023-01-10,N_0
2023-01-09,N_0
2023-01-08,N_0
2023-01-07,N_0
2023-01-06,N_0
2023-01-05,N_0
2023-01-04,N_0
2023-01-03,N_0
2023-01-02,N_0
2023-01-01,N_0
2022-12-31,N_0
2022-12-30,N_0
2022-12-29,N_0
2022-12-28,N_0
2022-12-27,N_0
2022-12-26,N_0
2022-12-25,N_0
2022-12-24,N_0
2022-12-23,N_0
2022-12-22,N_0
2022-12-21,N_0
2022-12-20,N_0
2022-12-19,N_0
2022-12-18,N_0
2022-12-17,N_0
2022-12-16,N_0
2022-12-15,N_0
2022-12-14,N_0
2022-12-13,N_0
2022-12-12,N_0
2022-12-11,N_0
2022-12-10,N_0
2022-12-09,N_0
2022-12-08,N_0
2022-12-07,N_0
2022-12-06,N_0
2022-12-05,N_0
2022-12-04,N_0
2022-12-03,N_0
2022-12-02,N_0
2022-12-01,N_0
2022-11-30,N_0
2022-11-29,N_0
2022-11-28,N_0
2022-11-27,N_0
2022-11-26,N_0
2022-11-25,N_0
2022-11-24,N_0
2022-11-23,N_0
2022-11-22,N_0
2022-11-21,N_0
2022-11-20,N_0
2022-11-19,N_0
2022-11-18,N_0
2022-11-17,N_0
2022-11-16,N_0
2022-11-15,N_0
2022-11-14,N_0
2022-11-13,N_0
2022-11-12,N_0
2022-11-11,N_0
2022-11-10,N_0
2022-11-09,N_0
2022-11-08,N_0
2022-11-07,N_0
2022-11-06,N_0
2022-11-05,N_0
2022-11-04,N_0
2022-11-03,N_0
2022-11-02,N_0
2022-11-01,N_0
2022-10-31,N_0
2022-10-30,N_0
2022-10-29,N_0
2022-10-28,N_0
2022-10-26,N_0
2022-10-25,N_0
2022-10-24,N_0
2022-10-23,N_0
2022-10-21,N_0
2022-10-18,N_0
2022-10-17,N_0
2022-10-16,N_0
