date,anomalies
2020-03-30,N_0
2020-03-29,N_0
2020-03-28,N_0
2020-03-27,N_0
2020-03-26,N_0
2020-03-25,N_0
2020-03-24,N_0
2020-03-23,N_0
2020-03-22,N_0
2020-03-20,N_0
2020-03-19,N_0
2020-03-18,N_0
2020-03-17,N_0
2020-03-16,N_0
2020-03-15,N_0
2020-03-13,N_0
2020-03-12,N_0
2020-03-11,N_0
2020-03-10,N_0
2020-03-09,N_0
2020-03-08,N_0
2020-03-07,N_0
2020-03-06,N_0
2020-03-05,N_0
2020-03-04,N_0
2020-03-03,N_0
2020-03-02,N_0
2020-03-01,N_0
2020-02-29,AN_0
2020-02-28,AN_0
2020-02-27,AN_0
2020-02-26,N_0
2020-02-25,N_0
2020-02-24,N_0
2020-02-23,N_0
2020-02-22,N_0
2020-02-21,N_0
2020-02-20,N_0
2020-02-19,N_0
2020-02-18,N_0
2020-02-17,N_0
2020-02-16,N_0
2020-02-15,N_0
2020-02-14,N_0
2020-02-13,N_0
2020-02-12,N_0
2020-02-11,N_0
2020-02-10,N_0
2020-02-09,N_0
2020-02-08,N_0
2020-02-07,AN_0
2020-02-06,AN_0
2020-02-05,AN_0
2020-02-04,AN_0
2020-02-03,AN_0
2020-02-02,AN_0
2020-02-01,AN_0
2020-01-31,AN_0
2020-01-30,AN_0
2020-01-29,AN_0
2020-01-28,AN_0
2020-01-27,AN_0
2020-01-26,N_0
2020-01-25,AN_0
2020-01-24,N_0
2020-01-23,N_0
2020-01-22,AN_0
2020-01-21,AN_0
2020-01-20,N_0
2020-01-19,AN_0
2020-01-18,N_0
2020-01-17,AN_0
2020-01-16,N_0
2020-01-15,N_0
2020-01-14,N_0
2020-01-13,N_0
2020-01-12,N_0
2020-01-11,N_0
2020-01-10,AN_0
2020-01-09,AN_0
2020-01-08,AN_0
2020-01-07,AN_0
2020-01-06,AN_0
2020-01-05,AN_0
2020-01-04,AN_0
2020-01-02,AN_0
2020-01-01,AN_0
2019-12-31,AN_0
2019-12-30,AN_0
2019-12-29,AN_0
2019-12-28,AN_0
2019-12-27,AN_0
2019-12-25,AN_0
2019-12-24,N_0
2019-12-23,N_0
2019-12-22,AN_0
2019-12-21,N_0
2019-12-20,N_0
2019-12-19,N_0
2019-12-18,N_0
2019-12-13,N_0
2019-12-12,N_0
2019-12-11,N_0
2019-12-10,N_0
2019-12-09,N_0
2019-12-08,N_0
2019-12-07,N_0
2019-12-06,N_0
2019-12-05,N_0
2019-12-04,N_0
2019-12-03,N_0
2019-12-02,N_0
