date,anomalies
2024-07-27,AN_0
2024-07-25,AN_0
2024-07-24,N_0
2024-07-12,N_0
2024-07-10,N_0
2024-07-05,N_0
2024-07-04,N_0
2024-07-03,N_0
2024-07-02,N_0
2024-06-27,N_0
2024-06-25,N_0
2024-06-20,AN_0
2024-06-18,AN_0
2024-06-17,AN_0
2024-06-11,AN_0
2024-06-08,N_0
2024-06-07,N_0
2024-06-05,N_0
2024-05-25,N_0
2024-05-24,AN_0
2024-05-23,AN_0
2024-05-21,N_0
2024-05-20,N_0
2024-05-19,N_0
2024-05-16,AN_0
2024-05-15,AN_0
2024-05-13,AN_0
2024-05-08,N_0
2024-05-05,N_0
2024-05-04,N_0
2024-05-03,N_0
2024-05-02,N_0
2024-05-01,N_0
2024-04-29,N_0
2024-04-28,N_0
2024-04-27,N_0
2024-04-25,N_0
2024-04-23,N_0
2024-04-21,N_0
2024-04-19,N_0
2024-04-18,N_0
2024-04-16,N_0
2024-04-15,N_0
2024-04-14,N_0
2024-04-13,N_0
2024-04-12,AN_0
2024-04-11,N_0
2024-04-09,AN_0
2024-04-06,AN_0
2024-04-05,AN_0
2024-04-04,N_0
2024-04-03,AN_0
2024-04-02,N_0
2024-03-31,N_0
2024-03-30,N_0
2024-03-29,N_0
2024-03-28,N_0
2024-03-27,N_0
2024-03-26,N_0
2024-03-25,N_0
2024-03-24,N_0
2024-03-22,N_0
2024-03-21,N_0
2024-03-20,N_0
2024-03-19,N_0
2024-03-18,N_0
2024-03-17,N_0
2024-03-15,N_0
2024-03-14,N_0
2024-03-13,N_0
2024-03-12,N_0
2024-03-11,N_0
2024-03-10,N_0
2024-03-09,N_0
2024-03-08,N_0
2024-03-06,N_0
2024-03-05,N_0
2024-03-04,N_0
2024-03-03,N_0
2024-02-29,N_0
2024-02-28,N_0
2024-02-27,N_0
2024-02-26,N_0
2024-02-25,N_0
2024-02-24,N_0
2024-02-23,N_0
2024-02-22,N_0
2024-02-21,N_0
2024-02-20,N_0
2024-02-19,N_0
2024-02-18,N_0
2024-02-17,N_0
2024-02-16,N_0
2024-02-15,N_0
2024-02-14,N_0
2024-02-13,N_0
2024-02-12,N_0
2024-02-11,N_0
2024-02-10,N_0
2024-02-09,N_0
2024-02-08,N_0
2024-02-07,N_0
2024-02-06,N_0
2024-02-05,AN_0
2024-02-04,AN_0
2024-02-03,N_0
2024-02-01,N_0
2024-01-30,N_0
2024-01-29,N_0
2024-01-28,N_0
2024-01-27,N_0
2024-01-26,N_0
2024-01-25,N_0
2024-01-23,N_0
2024-01-22,N_0
2024-01-21,N_0
2024-01-20,N_0
2024-01-18,N_0
2024-01-17,N_0
2024-01-15,N_0
2024-01-14,N_0
2024-01-13,N_0
2024-01-12,N_0
2024-01-11,N_0
2024-01-10,N_0
2024-01-09,N_0
2024-01-08,N_0
2024-01-07,N_0
2024-01-06,N_0
2024-01-05,N_0
2024-01-04,N_0
2024-01-03,N_0
2024-01-02,N_0
2024-01-01,N_0
2023-12-31,N_0
2023-12-30,N_0
2023-12-29,N_0
2023-12-28,N_0
2023-12-26,N_0
2023-12-25,N_0
2023-12-24,N_0
2023-12-23,N_0
2023-12-22,N_0
2023-12-21,N_0
2023-12-20,N_0
2023-12-18,N_0
2023-12-17,N_0
2023-12-16,N_0
2023-12-15,N_0
2023-12-13,N_0
2023-12-12,N_0
2023-12-11,N_0
2023-12-10,N_0
2023-12-09,N_0
2023-12-08,N_0
2023-12-07,N_0
2023-12-06,N_0
2023-12-05,N_0
2023-12-04,N_0
2023-12-03,N_0
2023-12-02,N_0
2023-12-01,N_0
2023-11-30,N_0
2023-11-28,N_0
2023-11-27,N_0
2023-11-26,N_0
2023-11-25,N_0
2023-11-23,N_0
2023-11-20,N_0
2023-11-19,N_0
2023-11-17,N_0
2023-11-16,N_0
2023-11-15,N_0
2023-11-14,N_0
2023-11-13,N_0
2023-11-12,N_0
2023-11-11,N_0
2023-11-10,N_0
2023-11-08,N_0
2023-11-07,N_0
2023-11-06,N_0
2023-11-05,N_0
2023-11-04,N_0
2023-11-03,N_0
2023-11-02,N_0
2023-10-31,N_0
2023-10-30,N_0
2023-10-29,N_0
2023-10-28,N_0
2023-10-25,N_0
2023-10-24,N_0
2023-10-23,N_0
2023-10-22,N_0
2023-10-21,N_0
2023-10-20,N_0
2023-10-19,N_0
2023-10-17,N_0
2023-10-16,N_0
2023-10-14,N_0
2023-10-11,N_0
2023-10-08,N_0
2023-10-07,N_0
2023-10-06,N_0
2023-10-04,N_0
2023-10-03,N_0
2023-10-02,N_0
2023-10-01,AN_0
2023-09-27,AN_0
2023-09-26,AN_0
2023-09-24,N_0
2023-09-22,N_0
2023-09-21,N_0
2023-09-18,N_0
2023-09-17,N_0
2023-09-16,N_0
2023-09-15,N_0
2023-09-13,N_0
2023-09-11,N_0
2023-09-09,N_0
2023-09-08,N_0
2023-09-07,N_0
2023-09-06,N_0
2023-09-05,AN_0
2023-09-04,AN_0
2023-09-01,AN_0
2023-08-31,AN_0
2023-08-30,AN_0
2023-08-29,AN_0
2023-08-28,AN_0
2023-08-27,AN_0
2023-08-26,AN_0
2023-08-25,AN_0
2023-08-23,AN_0
2023-08-19,AN_0
2023-08-17,AN_0
2023-08-15,N_0
2023-08-14,N_0
2023-08-13,N_0
2023-08-09,N_0
2023-08-08,N_0
