sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness,date,light,moderate,heavy,rest
36775976018,2022-05-06T05:00:30Z,82,,82,,52.0,55,0.0586881472957422,2022-05-06,175,47,83,701
36789086193,2022-05-07T06:44:30Z,79,,79,,22.0,49,0.0952380952380952,2022-05-07,195,48,51,632
36802508685,2022-05-08T08:14:30Z,78,,78,,39.0,47,0.0781426953567383,2022-05-08,223,58,9,668
36687317468,2022-05-09T05:00:00Z,72,,72,,34.0,48,0.0909090909090909,2022-05-09,202,19,115,696
36825771350,2022-05-10T04:54:30Z,79,,79,,90.0,48,0.1208665906499429,2022-05-10,235,24,37,706
36839243168,2022-05-11T05:38:30Z,72,,72,,49.0,49,0.0948905109489051,2022-05-11,205,20,60,676
36852754684,2022-05-12T05:00:30Z,73,,73,,23.0,49,0.1108462455303933,2022-05-12,245,49,62,592
36876824781,2022-05-14T06:25:30Z,80,,80,,23.0,48,0.0817733990147783,2022-05-14,278,19,13,602
36889520480,2022-05-15T08:59:30Z,79,,79,,34.0,48,0.0668756530825496,2022-05-15,171,2,43,746
36899443321,2022-05-16T05:30:30Z,79,,79,,51.0,47,0.0874006810442678,2022-05-16,231,0,46,692
36926293513,2022-05-18T05:39:00Z,78,,78,,34.0,46,0.099889012208657,2022-05-18,250,8,61,658
36942224745,2022-05-19T05:30:30Z,77,,77,,62.0,47,0.0958605664488017,2022-05-19,145,11,73,610
36966539585,2022-05-21T06:03:30Z,76,,76,,,47,0.0907127429805615,2022-05-21,119,9,64,777
36978310131,2022-05-22T06:29:30Z,81,,81,,59.0,47,0.0662857142857142,2022-05-22,131,29,7,821
36989748173,2022-05-23T05:30:30Z,75,,75,,36.0,47,0.1065088757396449,2022-05-23,206,19,86,692
37004536637,2022-05-24T06:22:30Z,71,,71,,35.0,46,0.0715083798882681,2022-05-24,201,11,54,727
37015059118,2022-05-25T05:32:30Z,73,,73,,34.0,47,0.1155152887882219,2022-05-25,206,33,24,733
37027375500,2022-05-26T05:30:30Z,75,,75,,49.0,47,0.1057579318448883,2022-05-26,191,11,11,802
37040385985,2022-05-27T04:59:30Z,81,,81,,65.0,46,0.0693333333333333,2022-05-27,281,24,85,654
37053245920,2022-05-28T07:26:30Z,75,,75,,51.0,46,0.0711610486891385,2022-05-28,150,4,59,827
37065939748,2022-05-29T06:28:00Z,78,,78,,40.0,47,0.0847107438016528,2022-05-29,160,13,37,745
37086491126,2022-05-30T07:00:30Z,78,,78,,51.0,46,0.0895091434071222,2022-05-30,184,0,73,660
37089835311,2022-05-31T05:18:30Z,76,,76,,72.0,45,0.0579710144927536,2022-05-31,274,0,0,749
37103264311,2022-06-01T05:20:30Z,73,,73,,61.0,45,0.112845138055222,2022-06-01,320,52,107,545
37117229386,2022-06-02T08:26:30Z,67,,67,,29.0,45,0.1545827633378933,2022-06-02,168,23,41,843
37126949941,2022-06-03T05:58:30Z,71,,71,,13.0,45,0.1243243243243243,2022-06-03,230,22,75,651
37139761148,2022-06-04T08:16:30Z,78,,78,,67.0,45,0.089639115250291,2022-06-04,170,8,1,756
