type,frequency,target,result,status,is_primary,start_date,end_date,created_on,edited_on
ACTIVE_ZONE_MINUTES_GOAL,DAILY,22.0,null,NEW,false,null,null,2022-05-24T16:30:52.123+00:00,null
ACTIVE_ZONE_MINUTES_GOAL,WEEKLY,150.0,null,NEW,false,null,null,2022-05-24T16:30:52.387+00:00,null
CALORIES_BURNED_GOAL,DAILY,3178.0,6.0,INPROGRESS_SO_FAR_MISSED,false,2024-05-04,2024-05-05,2022-05-01T19:50:05.000+00:00,null
STEPS_GOAL,DAILY,10000.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2024-05-04,2024-05-05,2022-05-01T19:50:05.000+00:00,null
FLOORS_CLIMBED_GOAL,DAILY,10.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2024-05-04,2024-05-05,2022-05-01T19:50:05.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,DAILY,5.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2024-05-04,2024-05-05,2022-05-01T19:50:05.000+00:00,null
ACTIVE_MINUTES_GOAL,DAILY,30.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2024-05-04,2024-05-05,2022-05-01T19:50:05.000+00:00,null
STEPS_GOAL,WEEKLY,70000.0,15502.0,INPROGRESS_SO_FAR_MISSED,true,2024-04-28,2024-05-05,2022-05-01T19:50:05.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,WEEKLY,35.0,7.34308,INPROGRESS_SO_FAR_MISSED,false,2024-04-28,2024-05-05,2022-05-01T19:50:05.000+00:00,null
FLOORS_CLIMBED_GOAL,WEEKLY,70.0,121.0,COMPLETED_ACHIEVED,false,2024-04-28,2024-05-05,2022-05-01T19:50:05.000+00:00,null
CALORIES_BURNED_GOAL,WEEKLY,22246.0,13570.0,INPROGRESS_SO_FAR_MISSED,false,2024-04-28,2024-05-05,2022-05-01T19:50:05.000+00:00,null
WATER_GOAL,DAILY,1893.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2022-04-24,2022-05-01,2022-05-01T19:50:05.000+00:00,null
