date,hol_we
2024-05-02,noVALUE
2024-04-30,noVALUE
2024-04-29,noVALUE
2024-04-28,WE_0
2024-04-27,noVALUE
2024-04-11,noVALUE
2024-04-10,noVALUE
2024-04-09,noVALUE
2024-04-08,noVALUE
2024-04-07,WE_0
2024-04-06,noVALUE
2024-04-05,noVALUE
2024-03-12,noVALUE
2024-03-11,noVALUE
2024-03-10,WE_0
2024-03-09,noVALUE
2024-03-08,noVALUE
2024-03-05,noVALUE
2024-03-04,noVALUE
2024-03-03,WE_0
2024-03-02,noVALUE
2024-02-26,noVALUE
2024-02-24,noVALUE
2024-02-23,noVALUE
2024-02-22,noVALUE
2024-02-21,noVALUE
2024-02-20,noVALUE
2024-02-19,noVALUE
2024-02-17,noVALUE
2024-02-16,noVALUE
2024-02-15,noVALUE
2024-02-14,noVALUE
2024-02-13,noVALUE
2024-02-12,noVALUE
2024-02-11,WE_0
2023-12-31,WE_0
2023-12-30,noVALUE
2023-12-29,noVALUE
2023-12-28,noVALUE
2023-12-27,noVALUE
2023-12-26,VA_0
2023-12-26,VA_0
2023-12-25,VA_0
2023-12-23,noVALUE
2023-12-19,noVALUE
2023-12-18,noVALUE
2023-12-17,WE_0
2023-12-16,noVALUE
2023-12-15,noVALUE
2023-12-14,noVALUE
2023-12-13,noVALUE
2023-12-12,noVALUE
2023-12-11,noVALUE
2023-12-10,WE_0
2023-12-09,noVALUE
2023-12-07,noVALUE
2023-12-06,noVALUE
2023-12-05,noVALUE
2023-12-04,noVALUE
2023-12-02,noVALUE
2023-11-30,noVALUE
2023-11-22,noVALUE
2023-11-21,noVALUE
2023-11-20,noVALUE
2023-11-19,WE_0
2023-11-18,noVALUE
2023-11-17,noVALUE
2023-11-16,noVALUE
2023-11-15,noVALUE
2023-11-14,noVALUE
2023-11-12,WE_0
2023-11-11,noVALUE
2023-11-10,noVALUE
2023-11-09,noVALUE
2023-11-08,noVALUE
2023-11-07,noVALUE
2023-11-06,noVALUE
2023-11-05,WE_0
2023-11-04,noVALUE
2023-11-02,noVALUE
2023-10-31,noVALUE
2023-10-30,noVALUE
2023-10-29,WE_0
2023-10-28,noVALUE
2023-10-27,noVALUE
2023-10-26,noVALUE
2023-10-25,noVALUE
2023-10-24,noVALUE
2023-10-23,noVALUE
2023-10-22,WE_0
2023-10-20,noVALUE
2023-10-19,noVALUE
2023-10-18,noVALUE
2023-10-17,noVALUE
2023-10-16,noVALUE
2023-10-15,WE_0
2023-10-14,noVALUE
2023-10-13,noVALUE
2023-10-12,noVALUE
2023-10-11,noVALUE
2023-10-10,noVALUE
2023-10-09,noVALUE
2023-10-08,WE_0
2023-10-07,noVALUE
2023-10-06,noVALUE
2023-10-05,noVALUE
2023-10-04,noVALUE
2023-10-03,noVALUE
2023-10-02,noVALUE
2023-10-01,WE_0
2023-08-17,noVALUE
2023-06-26,noVALUE
2023-06-13,noVALUE
2023-06-12,noVALUE
2023-06-10,noVALUE
2023-06-08,noVALUE
2023-06-07,noVALUE
2023-06-04,WE_0
2023-06-02,VA_0
2023-06-01,noVALUE
2023-05-31,noVALUE
2023-05-30,noVALUE
2023-05-29,noVALUE
2023-05-28,WE_0
2023-05-27,noVALUE
2023-05-26,noVALUE
2023-05-25,noVALUE
2023-05-24,noVALUE
2023-05-23,noVALUE
2023-05-22,noVALUE
2023-05-20,noVALUE
2023-05-19,noVALUE
2023-05-18,noVALUE
2023-05-17,noVALUE
2023-05-16,noVALUE
2023-05-15,noVALUE
2023-05-14,WE_0
2023-05-13,noVALUE
2023-05-12,noVALUE
2023-05-11,noVALUE
2023-05-10,noVALUE
2023-05-09,noVALUE
2023-05-08,noVALUE
2023-05-07,WE_0
2023-05-06,noVALUE
2023-05-05,noVALUE
2023-05-04,noVALUE
2023-05-03,noVALUE
2023-05-02,noVALUE
2023-05-01,VA_0
2023-04-30,WE_0
2023-04-29,noVALUE
2023-04-28,noVALUE
2023-04-27,noVALUE
2023-04-26,noVALUE
2023-04-25,VA_0
2023-04-24,noVALUE
2023-04-23,WE_0
2023-04-22,noVALUE
2023-04-21,noVALUE
2023-04-20,noVALUE
2023-04-19,noVALUE
2023-04-18,VA_0
2023-04-17,VA_0
2023-04-16,WE_0
2023-04-15,noVALUE
2023-04-14,noVALUE
2023-04-13,noVALUE
2023-04-12,noVALUE
2023-04-11,noVALUE
2023-04-10,noVALUE
2023-04-09,WE_0
2023-04-08,noVALUE
2023-04-07,noVALUE
2023-04-06,noVALUE
2023-04-05,noVALUE
2023-04-04,noVALUE
2023-04-03,noVALUE
2023-04-02,WE_0
2023-04-01,noVALUE
2023-03-31,noVALUE
2023-03-30,noVALUE
2023-03-29,noVALUE
2023-03-28,noVALUE
2023-03-21,noVALUE
2023-03-20,noVALUE
2023-03-18,noVALUE
2023-03-17,noVALUE
2023-03-16,noVALUE
2023-03-15,noVALUE
2023-03-13,noVALUE
2023-03-12,WE_0
2023-03-11,noVALUE
2023-03-10,noVALUE
2023-03-09,noVALUE
2023-03-08,noVALUE
2023-03-07,noVALUE
2023-03-06,noVALUE
2023-03-05,WE_0
2023-03-04,noVALUE
2023-03-03,noVALUE
2023-03-02,noVALUE
2023-03-01,noVALUE
2023-02-28,noVALUE
2023-02-27,noVALUE
2023-02-26,WE_0
2023-02-24,noVALUE
2023-02-23,noVALUE
2023-02-22,noVALUE
2023-02-21,noVALUE
2023-02-20,noVALUE
2023-02-19,WE_0
2023-02-18,noVALUE
2023-02-17,noVALUE
2023-02-16,noVALUE
2023-02-15,noVALUE
2023-02-14,noVALUE
2023-02-13,noVALUE
2023-02-12,WE_0
2023-02-11,noVALUE
2023-02-10,noVALUE
2023-02-09,noVALUE
2023-02-07,noVALUE
2023-02-06,noVALUE
2023-02-05,WE_0
2023-02-04,noVALUE
2023-02-03,noVALUE
2023-02-02,noVALUE
2023-02-01,noVALUE
2023-01-31,noVALUE
2023-01-30,noVALUE
2023-01-29,WE_0
2023-01-28,noVALUE
2023-01-27,noVALUE
2023-01-26,noVALUE
2023-01-25,noVALUE
2023-01-24,noVALUE
2023-01-23,noVALUE
2023-01-22,WE_0
2023-01-21,noVALUE
2023-01-20,noVALUE
2023-01-19,noVALUE
2023-01-18,noVALUE
2023-01-17,noVALUE
2023-01-16,noVALUE
2023-01-15,WE_0
2023-01-14,noVALUE
2023-01-12,noVALUE
2023-01-11,noVALUE
2023-01-10,noVALUE
2023-01-09,noVALUE
2023-01-08,WE_0
2023-01-07,noVALUE
2023-01-06,noVALUE
2023-01-05,noVALUE
2023-01-04,noVALUE
2023-01-03,noVALUE
2023-01-02,noVALUE
2023-01-01,WE_0
2022-12-31,noVALUE
2022-12-30,noVALUE
2022-12-29,noVALUE
2022-12-28,noVALUE
2022-12-27,noVALUE
2022-12-26,VA_0
2022-12-25,WE_0
2022-12-24,noVALUE
2022-12-23,noVALUE
2022-12-22,noVALUE
2022-12-21,noVALUE
2022-12-20,noVALUE
2022-12-19,noVALUE
2022-12-18,WE_0
2022-12-17,noVALUE
2022-12-16,noVALUE
2022-12-15,noVALUE
2022-12-14,noVALUE
2022-12-13,noVALUE
2022-12-12,noVALUE
2022-12-11,WE_0
2022-12-10,noVALUE
2022-12-09,noVALUE
2022-12-08,VA_0
2022-12-07,noVALUE
2022-12-06,noVALUE
2022-12-05,noVALUE
2022-12-04,WE_0
2022-12-03,noVALUE
2022-12-01,noVALUE
2022-11-30,noVALUE
2022-11-29,noVALUE
2022-11-28,noVALUE
2022-11-27,WE_0
2022-11-26,noVALUE
2022-11-25,noVALUE
2022-11-24,noVALUE
2022-11-23,noVALUE
2022-11-22,noVALUE
2022-11-21,noVALUE
2022-11-20,WE_0
2022-11-19,noVALUE
2022-11-18,noVALUE
2022-11-17,noVALUE
2022-11-16,noVALUE
2022-11-15,noVALUE
2022-11-14,noVALUE
2022-11-13,WE_0
2022-11-12,noVALUE
2022-11-11,noVALUE
2022-11-10,noVALUE
2022-11-09,noVALUE
2022-11-08,noVALUE
2022-11-07,noVALUE
2022-11-06,WE_0
