date,week
2024-07-27,WE_0
2024-07-25,WD_0
2024-07-24,WD_0
2024-07-12,WD_0
2024-07-10,WD_0
2024-07-05,WD_0
2024-07-04,WD_0
2024-07-03,WD_0
2024-07-02,WD_0
2024-06-27,WD_0
2024-06-25,WD_0
2024-06-20,WD_0
2024-06-18,WD_0
2024-06-17,WD_0
2024-06-11,WD_0
2024-06-08,WE_0
2024-06-07,WD_0
2024-06-05,WD_0
2024-05-25,WE_0
2024-05-24,WD_0
2024-05-23,WD_0
2024-05-21,WD_0
2024-05-20,WD_0
2024-05-19,WE_0
2024-05-16,WD_0
2024-05-15,WD_0
2024-05-13,WD_0
2024-05-08,WD_0
2024-05-05,WE_0
2024-05-04,WE_0
2024-05-03,WD_0
2024-05-02,WD_0
2024-05-01,WD_0
2024-04-29,WD_0
2024-04-28,WE_0
2024-04-27,WE_0
2024-04-25,WD_0
2024-04-23,WD_0
2024-04-21,WE_0
2024-04-19,WD_0
2024-04-18,WD_0
2024-04-16,WD_0
2024-04-15,WD_0
2024-04-14,WE_0
2024-04-13,WE_0
2024-04-12,WD_0
2024-04-11,WD_0
2024-04-09,WD_0
2024-04-06,WE_0
2024-04-05,WD_0
2024-04-04,WD_0
2024-04-03,WD_0
2024-04-02,WD_0
2024-03-31,WE_0
2024-03-30,WE_0
2024-03-29,WD_0
2024-03-28,WD_0
2024-03-27,WD_0
2024-03-26,WD_0
2024-03-25,WD_0
2024-03-24,WE_0
2024-03-22,WD_0
2024-03-21,WD_0
2024-03-20,WD_0
2024-03-19,WD_0
2024-03-18,WD_0
2024-03-17,WE_0
2024-03-15,WD_0
2024-03-14,WD_0
2024-03-13,WD_0
2024-03-12,WD_0
2024-03-11,WD_0
2024-03-10,WE_0
2024-03-09,WE_0
2024-03-08,WD_0
2024-03-06,WD_0
2024-03-05,WD_0
2024-03-04,WD_0
2024-03-03,WE_0
2024-02-29,WD_0
2024-02-28,WD_0
2024-02-27,WD_0
2024-02-26,WD_0
