date,hol_we
2023-09-08,noVALUE
2023-09-09,WE_0
2023-09-10,WE_0
2023-09-11,noVALUE
2023-09-12,noVALUE
2023-09-13,noVALUE
2023-09-14,noVALUE
2023-09-15,noVALUE
2023-09-16,WE_0
2023-09-17,WE_0
2023-09-18,noVALUE
2023-09-19,noVALUE
2023-09-20,noVALUE
2023-09-21,noVALUE
2023-09-22,noVALUE
2023-09-23,WE_0
2023-09-24,WE_0
2023-09-25,noVALUE
2023-09-26,noVALUE
2023-09-27,noVALUE
2023-09-28,noVALUE
2023-09-29,noVALUE
2023-09-30,WE_0
2023-10-01,WE_0
2023-10-02,noVALUE
2023-10-03,noVALUE
2023-10-04,noVALUE
2023-10-05,noVALUE
2023-10-06,noVALUE
2023-10-07,WE_0
2023-10-08,WE_0
2023-10-09,noVALUE
2023-10-10,noVALUE
2023-10-11,noVALUE
2023-10-12,noVALUE
2023-10-13,noVALUE
2023-10-14,WE_0
2023-10-15,WE_0
2023-10-16,noVALUE
2023-10-17,noVALUE
2023-10-18,noVALUE
2023-10-19,noVALUE
2023-10-20,noVALUE
2023-10-21,WE_0
2023-10-22,WE_0
2023-10-23,noVALUE
2023-10-24,noVALUE
2023-10-25,noVALUE
2023-10-26,noVALUE
2023-10-27,noVALUE
2023-10-28,WE_0
2023-10-29,WE_0
2023-10-30,noVALUE
2023-10-31,noVALUE
2023-11-01,VA_0
2023-11-02,noVALUE
2023-11-03,noVALUE
2023-11-05,WE_0
2023-11-06,noVALUE
2023-11-07,noVALUE
2023-11-08,noVALUE
2023-11-09,noVALUE
2023-11-10,noVALUE
2023-11-11,WE_0
2023-11-13,noVALUE
2023-11-14,noVALUE
2023-11-15,noVALUE
2023-11-16,noVALUE
2023-11-17,noVALUE
2023-11-18,WE_0
2023-11-19,WE_0
2023-11-20,noVALUE
2023-11-21,noVALUE
2023-11-22,noVALUE
2023-11-23,noVALUE
2023-11-24,noVALUE
2023-11-27,noVALUE
2023-11-28,noVALUE
2023-11-29,noVALUE
2023-12-02,WE_0
2023-12-04,noVALUE
2023-12-05,noVALUE
2023-12-06,noVALUE
2023-12-07,noVALUE
2023-12-09,WE_0
2023-12-10,WE_0
2023-12-11,noVALUE
2023-12-12,noVALUE
2023-12-13,noVALUE
2023-12-14,noVALUE
2023-12-15,noVALUE
2023-12-16,WE_0
2023-12-18,noVALUE
2023-12-19,noVALUE
2023-12-20,noVALUE
2023-12-21,noVALUE
2023-12-23,WE_0
2023-12-24,WE_0
2023-12-25,VA_0
2023-12-26,VA_0
2023-12-28,noVALUE
2023-12-29,noVALUE
2023-12-30,WE_0
2023-12-31,WE_0
2024-01-01,VA_0
2024-01-02,noVALUE
2024-01-03,noVALUE
2024-01-04,noVALUE
2024-01-05,noVALUE
2024-01-06,VA_0
2024-01-07,WE_0
2024-01-08,noVALUE
2024-01-09,noVALUE
2024-01-10,noVALUE
2024-01-11,noVALUE
2024-01-12,noVALUE
2024-01-13,WE_0
2024-01-14,WE_0
2024-01-15,noVALUE
2024-01-16,noVALUE
2024-01-17,noVALUE
2024-01-18,noVALUE
2024-01-19,noVALUE
2024-01-21,WE_0
2024-01-22,noVALUE
2024-01-23,noVALUE
2024-01-24,noVALUE
2024-01-25,noVALUE
2024-01-26,noVALUE
2024-01-27,WE_0
2024-01-28,WE_0
2024-01-29,noVALUE
2024-01-30,noVALUE
2024-02-01,noVALUE
2024-02-03,WE_0
2024-02-05,noVALUE
2024-02-06,noVALUE
2024-02-07,noVALUE
2024-02-08,noVALUE
2024-02-09,noVALUE
2024-02-10,WE_0
2024-02-11,WE_0
2024-02-12,noVALUE
2024-02-13,noVALUE
2024-02-14,noVALUE
2024-02-15,noVALUE
2024-02-16,noVALUE
2024-02-17,WE_0
2024-02-18,WE_0
2024-02-19,noVALUE
2024-02-20,noVALUE
2024-02-21,noVALUE
2024-02-22,noVALUE
2024-02-23,noVALUE
2024-02-24,WE_0
2024-02-25,WE_0
2024-02-26,noVALUE
2024-02-27,noVALUE
2024-02-28,noVALUE
2024-02-29,noVALUE
2024-03-01,noVALUE
2024-03-02,WE_0
2024-03-03,WE_0
2024-03-04,noVALUE
2024-04-07,WE_0
2024-04-08,noVALUE
2024-04-10,noVALUE
2024-04-11,noVALUE
2024-04-12,noVALUE
2024-04-13,WE_0
2024-04-14,WE_0
2024-04-15,noVALUE
2024-04-16,noVALUE
2024-04-17,noVALUE
2024-04-18,noVALUE
2024-04-19,noVALUE
2024-04-20,WE_0
2024-04-22,noVALUE
2024-04-23,noVALUE
2024-04-24,noVALUE
2024-04-25,VA_0
2024-04-26,noVALUE
2024-04-27,WE_0
2024-04-28,WE_0
2024-05-01,VA_0
2024-05-03,noVALUE
2024-05-04,WE_0
2024-05-05,WE_0
2024-05-06,noVALUE
2024-05-07,noVALUE
2024-05-08,noVALUE
2024-05-09,noVALUE
2024-05-10,noVALUE
2024-05-11,WE_0
2024-05-13,noVALUE
2024-05-14,noVALUE
2024-05-15,noVALUE
2024-05-16,noVALUE
2024-05-17,noVALUE
2024-05-23,noVALUE
2024-05-24,noVALUE
2024-05-26,WE_0
2024-05-27,noVALUE
2024-05-28,noVALUE
2024-05-29,noVALUE
2024-05-30,noVALUE
2024-06-01,WE_0
2024-06-03,noVALUE
2024-06-04,noVALUE
2024-06-06,noVALUE
2024-06-08,WE_0
2024-06-11,noVALUE
2024-06-12,noVALUE
2024-06-14,noVALUE
2024-06-17,noVALUE
2024-06-18,noVALUE
2024-06-19,noVALUE
2024-06-20,noVALUE
2024-06-23,WE_0
2024-06-24,noVALUE
2024-06-25,noVALUE
2024-06-26,noVALUE
2024-06-27,noVALUE
2024-06-28,noVALUE
2024-07-01,noVALUE
2024-07-02,noVALUE
2024-07-03,noVALUE
2024-07-04,noVALUE
2024-07-05,noVALUE
2024-07-08,noVALUE
2024-07-09,noVALUE
2024-07-10,noVALUE
2024-07-11,noVALUE
2024-07-12,noVALUE
2024-07-14,WE_0
2024-07-15,noVALUE
2024-07-16,noVALUE
2024-07-17,noVALUE
2024-07-18,noVALUE
2024-07-21,WE_0
2024-07-22,noVALUE
2024-07-23,noVALUE
2024-07-24,noVALUE
2024-07-26,noVALUE
2024-07-29,noVALUE
2024-07-30,noVALUE
2024-07-31,noVALUE
2024-08-02,noVALUE
2024-08-05,noVALUE
2024-08-06,noVALUE
2024-08-07,noVALUE
2024-08-08,noVALUE
2024-08-09,noVALUE
2024-08-12,noVALUE
2024-08-14,noVALUE
2024-08-15,VA_0
2024-08-16,noVALUE
2024-08-17,WE_0
2024-08-18,WE_0
2024-08-19,noVALUE
2024-08-20,noVALUE
2024-08-21,noVALUE
2024-08-22,noVALUE
2024-08-23,noVALUE
2024-08-24,WE_0
2024-08-25,WE_0
2024-08-26,noVALUE
2024-08-27,noVALUE
2024-08-29,noVALUE
2024-08-31,WE_0
2024-09-01,WE_0
2024-09-02,noVALUE
2024-09-03,noVALUE
2024-09-04,noVALUE
