date,sleep_quality,light,moderate,heavy,rest
2024-07-27,76,34,27,10,840
2024-08-02,67,265,24,10,717
2024-08-07,63,139,23,17,1035
2024-08-17,74,190,52,71,655
2024-08-20,89,175,71,69,553
2024-08-22,81,247,38,42,559
2024-08-23,83,298,36,50,559
2024-08-24,73,308,12,12,550
2024-09-05,81,69,25,38,411
2024-09-07,82,471,5,1,439
2024-09-08,77,415,0,0,486
2024-09-09,81,149,0,0,870
2024-09-11,74,252,26,27,656
2024-09-14,85,410,28,25,380
2024-09-16,75,291,28,42,686
2024-09-17,51,209,12,24,746
2024-09-18,76,34,0,0,867
2024-09-20,71,418,35,36,512
2024-09-21,57,277,40,45,788
2024-09-22,84,253,46,44,379
2024-09-23,80,300,3,5,327
2024-09-24,85,222,28,19,535
2024-09-25,78,206,47,56,644
2024-09-26,76,149,46,31,756
2024-09-28,78,452,8,1,374
2024-09-29,83,386,6,25,440
2024-09-30,78,250,43,61,611
2024-10-01,78,284,37,47,664
2024-10-02,79,279,27,24,643
2024-10-03,82,192,42,41,650
2024-10-05,87,88,0,0,745
2024-10-07,77,195,57,51,686
2024-10-10,82,163,51,29,760
2024-10-11,77,195,80,57,672
2024-10-13,82,339,7,0,461
2024-10-15,85,152,46,71,686
2024-10-17,77,253,48,39,553
2024-10-18,78,229,65,56,597
2024-10-19,81,358,7,3,452
2024-10-20,83,289,0,0,445
2024-10-21,80,234,55,60,606
2024-10-22,81,222,58,37,678
2024-10-23,80,262,0,0,704
2024-10-24,83,222,24,41,673
2024-10-25,84,183,13,25,731
2024-10-26,85,407,0,0,423
2024-10-27,82,177,0,0,686
2024-10-28,85,289,57,37,580
2024-10-29,81,54,11,14,879
2024-10-31,79,149,51,41,540
2024-11-02,80,358,5,8,520
2024-11-03,81,406,24,2,393
2024-11-04,84,213,35,22,661
2024-11-05,78,157,36,51,502
2024-11-08,83,183,43,68,648
2024-11-09,69,393,18,29,462
2024-11-10,82,271,23,36,541
2024-11-12,80,257,49,89,579
2024-11-13,83,253,36,82,594
2024-11-15,72,142,62,65,617
2024-11-17,70,214,0,0,757
2024-11-19,76,227,59,81,631
2024-11-23,87,416,0,0,439
2024-11-24,81,51,0,0,554
2024-11-26,85,179,19,19,738
2024-11-27,78,208,70,81,622
2024-11-28,77,179,29,34,693
2024-11-29,80,187,70,49,647
2024-11-30,82,306,42,26,343
2024-12-02,77,198,68,56,664
2024-12-04,84,266,56,40,544
2024-12-05,82,205,25,38,666
2024-12-06,83,226,38,59,647
2024-12-07,83,454,12,21,402
2024-12-08,81,293,14,4,625
2024-12-09,80,94,26,16,799
2024-12-11,73,216,61,37,648
2024-12-12,79,256,20,40,644
2024-12-14,75,257,14,13,567
2024-12-16,82,281,18,21,626
2024-12-17,74,107,48,78,758
2024-12-18,78,198,50,71,611
2024-12-19,81,237,14,15,689
2024-12-20,87,290,40,23,594
2024-12-21,80,324,0,0,601
2024-12-23,84,373,0,0,548
2024-12-25,89,327,20,9,535
2024-12-26,83,251,0,0,601
2024-12-27,84,230,25,46,605
2024-12-28,81,343,39,71,441
2024-12-29,87,288,51,51,487
2024-12-30,84,262,45,44,601
2025-01-02,90,206,20,55,549
2025-01-03,66,334,48,75,499
2025-01-03,65,334,48,75,499
2025-01-04,81,272,50,51,543
2025-01-05,75,271,8,11,617
2025-01-06,89,30,17,40,818
2025-01-07,78,189,44,58,599
