date,week
2024-07-27,WE_0
2024-08-02,WD_0
2024-08-07,WD_0
2024-08-17,WE_0
2024-08-20,WD_0
2024-08-22,WD_0
2024-08-23,WD_0
2024-08-24,WE_0
2024-09-05,WD_0
2024-09-07,WE_0
2024-09-08,WE_0
2024-09-09,WD_0
2024-09-11,WD_0
2024-09-14,WE_0
2024-09-16,WD_0
2024-09-17,WD_0
2024-09-18,WD_0
2024-09-20,WD_0
2024-09-21,WE_0
2024-09-22,WE_0
2024-09-23,WD_0
2024-09-24,WD_0
2024-09-25,WD_0
2024-09-26,WD_0
2024-09-28,WE_0
2024-09-29,WE_0
2024-09-30,WD_0
2024-10-01,WD_0
2024-10-02,WD_0
2024-10-03,WD_0
2024-10-05,WE_0
2024-10-07,WD_0
2024-10-10,WD_0
2024-10-11,WD_0
2024-10-13,WE_0
2024-10-15,WD_0
2024-10-17,WD_0
2024-10-18,WD_0
2024-10-19,WE_0
2024-10-20,WE_0
2024-10-21,WD_0
2024-10-22,WD_0
2024-10-23,WD_0
2024-10-24,WD_0
2024-10-25,WD_0
2024-10-26,WE_0
2024-10-27,WE_0
2024-10-28,WD_0
2024-10-29,WD_0
2024-10-31,WD_0
2024-11-02,WE_0
2024-11-03,WE_0
2024-11-04,WD_0
2024-11-05,WD_0
2024-11-08,WD_0
2024-11-09,WE_0
2024-11-10,WE_0
2024-11-12,WD_0
2024-11-13,WD_0
2024-11-15,WD_0
2024-11-17,WE_0
2024-11-19,WD_0
2024-11-23,WE_0
2024-11-24,WE_0
2024-11-26,WD_0
2024-11-27,WD_0
2024-11-28,WD_0
2024-11-29,WD_0
2024-11-30,WE_0
2024-12-02,WD_0
2024-12-04,WD_0
2024-12-05,WD_0
2024-12-06,WD_0
2024-12-07,WE_0
2024-12-08,WE_0
2024-12-09,WD_0
2024-12-11,WD_0
2024-12-12,WD_0
2024-12-14,WE_0
2024-12-16,WD_0
2024-12-17,WD_0
2024-12-18,WD_0
2024-12-19,WD_0
2024-12-20,WD_0
2024-12-21,WE_0
2024-12-23,WD_0
2024-12-25,WD_0
2024-12-26,WD_0
2024-12-27,WD_0
2024-12-28,WE_0
2024-12-29,WE_0
2024-12-30,WD_0
2025-01-02,WD_0
2025-01-03,WD_0
2025-01-04,WE_0
2025-01-05,WE_0
2025-01-06,WD_0
2025-01-07,WD_0
