date,week
2019-11-15,WD_0
2019-11-16,WE_0
2019-11-17,WE_0
2019-11-18,WD_0
2019-11-19,WD_0
2019-11-20,WD_0
2019-11-21,WD_0
2019-11-22,WD_0
2019-11-23,WE_0
2019-11-24,WE_0
2019-11-25,WD_0
2019-11-26,WD_0
2019-11-27,WD_0
2019-11-28,WD_0
2019-11-29,WD_0
2019-11-30,WE_0
2019-12-10,WD_0
2019-12-11,WD_0
2019-12-12,WD_0
2019-12-13,WD_0
2019-12-14,WE_0
2019-12-15,WE_0
2019-12-18,WD_0
2019-12-19,WD_0
2019-12-20,WD_0
2019-12-21,WE_0
2019-12-22,WE_0
2019-12-23,WD_0
2019-12-27,WD_0
2019-12-28,WE_0
2019-12-29,WE_0
2020-01-02,WD_0
2020-01-03,WD_0
2020-01-05,WE_0
2020-01-06,WD_0
2020-01-07,WD_0
2020-01-08,WD_0
2020-01-09,WD_0
2020-01-10,WD_0
2020-01-11,WE_0
2020-01-25,WE_0
2020-01-26,WE_0
2020-01-27,WD_0
2020-01-28,WD_0
2020-01-29,WD_0
2020-01-30,WD_0
2020-03-21,WE_0
